Subj,Age,Attrition,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,DistanceFromHome,PerformanceRating,Education,JobInvolvement,JobLevel,StockOptionLevel,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction
19,53,No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,No,15427,1219,78,22021,2,3,4,2,4,0,2,16,31,3,3,25,8,3,7,1,4,3
20,38,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Yes,3944,371,45,4306,2,3,3,3,1,0,5,11,6,3,3,3,2,1,2,4,4,3
21,24,No,Non-Travel,Research & Development,Other,Female,Manufacturing Director,Divorced,No,4011,673,96,8232,11,3,2,4,2,1,0,18,5,5,2,4,2,1,3,1,3,4
23,34,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,No,11994,419,53,21293,7,3,4,3,3,0,0,11,13,4,3,12,6,2,11,1,2,3
24,21,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,1232,391,96,19281,15,3,2,3,1,0,1,14,0,6,3,0,0,0,0,3,4,4
26,53,No,Travel_Rarely,Research & Development,Other,Female,Manager,Divorced,No,19094,1282,58,10735,5,3,3,3,5,1,4,11,26,3,2,14,13,4,8,3,3,4
28,42,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,6825,691,48,21173,8,3,4,3,2,1,0,11,10,2,3,9,7,4,2,3,2,4
29,44,No,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,No,10248,477,42,2094,7,3,4,2,3,1,3,14,24,4,3,22,6,5,17,1,4,4
30,46,No,Travel_Rarely,Sales,Marketing,Female,Manager,Single,No,18947,705,83,22822,2,3,4,3,5,0,3,12,22,2,2,2,2,2,1,2,1,4
31,33,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,No,2496,924,78,6670,2,3,3,3,1,0,4,11,7,3,3,1,1,0,0,3,4,4
32,44,No,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Married,Yes,6465,1459,41,19121,10,3,4,3,2,0,2,13,9,5,4,4,2,1,3,4,4,4
33,30,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,No,2206,125,83,16117,9,3,2,2,1,0,1,13,10,5,3,10,0,1,8,4,3,1
36,43,No,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Divorced,No,2645,1273,72,21923,2,3,2,4,1,2,1,12,6,3,2,5,3,1,4,4,3,4
38,35,No,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Married,No,2014,890,97,9687,2,3,3,3,1,0,1,13,2,3,3,2,2,2,2,4,4,1
39,36,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,Yes,3419,852,82,13072,5,3,4,2,1,1,9,14,6,3,4,1,1,0,0,2,1,4
40,33,No,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,No,5376,1141,42,3193,1,3,3,4,2,2,2,19,10,3,3,5,3,1,3,3,1,1
41,35,No,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced,No,1951,464,75,10910,4,3,2,3,1,1,1,12,1,3,3,1,0,0,0,3,4,3
42,27,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,2341,1240,33,19715,2,3,4,3,1,1,1,13,1,6,3,1,0,0,0,4,1,4
44,27,No,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single,No,8726,994,37,2975,8,3,3,3,3,0,1,15,9,0,3,9,8,1,7,4,3,4
45,30,No,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,No,4011,721,58,10781,1,4,2,3,2,0,1,23,12,2,3,12,8,3,7,3,4,4
47,34,No,Non-Travel,Sales,Marketing,Male,Sales Executive,Single,No,4568,1065,72,10034,23,4,4,3,2,0,0,20,10,2,3,9,5,8,7,2,3,3
48,37,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,3022,408,73,10227,19,4,2,3,1,0,4,21,8,1,3,1,0,0,0,2,2,1
49,46,No,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,Yes,5772,1211,98,20445,5,4,4,3,2,0,4,21,14,4,3,9,6,0,8,1,4,3
50,35,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,2269,1229,36,4892,8,3,1,4,1,0,1,19,1,2,3,1,0,0,1,4,4,4
53,44,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Yes,5454,1488,75,4009,1,4,5,3,2,1,5,21,9,2,2,4,3,1,3,2,1,3
54,35,No,Non-Travel,Research & Development,Medical,Male,Healthcare Representative,Married,Yes,9884,1097,79,8302,11,3,2,2,3,1,2,13,10,3,3,4,0,2,3,3,1,3
55,26,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Yes,4157,1443,47,21436,23,3,3,2,2,1,7,19,5,2,2,2,2,0,0,3,4,3
56,33,No,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single,Yes,13458,515,98,15146,1,3,2,3,3,0,1,12,15,1,3,15,14,8,12,1,4,3
57,35,No,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,No,9069,853,71,11031,18,4,5,3,3,1,1,22,9,3,2,9,8,1,8,2,1,4
58,35,No,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,Yes,4014,1142,30,16002,23,3,4,3,1,1,3,15,4,3,3,2,2,2,2,3,1,3
59,31,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,5915,655,48,9528,7,4,4,3,2,1,3,22,10,3,2,7,7,1,7,4,4,4
60,37,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,No,5993,1115,51,2689,1,3,4,2,2,1,1,18,7,2,4,7,5,0,7,1,3,3
61,32,No,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Yes,6162,427,33,10877,1,4,3,3,2,1,1,22,9,3,3,9,8,7,8,1,4,2
62,38,No,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,2406,653,50,5456,29,3,5,3,2,0,1,11,10,2,3,10,3,9,9,4,4,4
63,50,No,Travel_Rarely,Research & Development,Medical,Female,Research Director,Divorced,Yes,18740,989,43,16701,7,3,2,2,5,1,5,12,29,2,2,27,3,13,8,2,3,4
64,59,No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,No,7637,1435,99,2354,25,3,3,3,3,0,7,11,28,3,2,21,16,7,9,1,1,4
65,36,No,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced,No,10096,1223,59,8202,8,3,3,3,3,3,1,13,17,2,3,17,14,12,8,3,3,2
66,55,No,Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced,Yes,14756,836,33,19730,8,3,3,3,4,3,2,14,21,2,3,5,0,0,2,4,3,3
67,36,No,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,6499,1195,95,22656,11,3,3,2,2,0,1,13,6,3,3,6,5,0,3,2,2,3
68,45,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,9724,1339,59,18787,7,3,3,3,3,1,2,17,25,2,3,1,0,0,0,2,1,3
69,35,No,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married,No,2194,664,79,5868,1,3,3,3,1,1,4,13,5,2,2,3,2,1,2,2,1,4
71,59,No,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,No,5473,1225,57,24668,1,3,1,2,2,0,7,11,20,2,2,4,3,1,3,1,3,4
72,29,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,2703,1328,76,4956,2,4,3,3,1,1,0,23,6,3,3,5,4,0,4,3,2,4
73,31,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,2501,1082,87,18775,1,3,4,3,1,0,1,17,1,4,3,1,1,1,0,3,2,2
74,32,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,6220,548,66,7346,1,3,3,3,2,2,1,17,10,3,3,10,4,0,9,2,2,2
75,36,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,No,3038,132,55,22002,6,3,3,4,1,0,3,12,5,3,3,1,0,0,0,2,4,2
76,31,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,No,4424,746,61,20682,8,4,4,3,2,0,1,23,11,2,3,11,7,1,8,3,4,4
77,35,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,4312,776,32,23016,1,3,4,2,2,0,0,14,16,2,3,15,13,2,8,3,1,2
78,45,No,Travel_Rarely,Research & Development,Other,Male,Research Director,Married,Yes,13245,193,52,15067,6,3,4,3,3,0,4,14,17,3,4,0,0,0,0,4,1,2
79,37,No,Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,No,13664,397,30,25258,7,3,4,3,3,0,4,13,16,3,4,5,2,0,2,1,3,1
80,46,No,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Divorced,Yes,5021,945,80,10425,5,4,2,3,2,1,8,22,16,2,3,4,2,0,2,2,2,4
81,30,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,5126,852,55,15998,1,3,1,2,2,2,1,12,10,1,2,10,8,3,0,4,4,3
82,35,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,2859,1214,30,26278,1,3,3,2,1,0,1,18,6,3,3,6,4,0,4,2,3,1
83,55,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,10239,111,70,18092,1,3,2,3,3,1,3,14,24,4,3,1,0,1,0,1,4,4
84,38,No,Non-Travel,Research & Development,Medical,Female,Research Scientist,Divorced,Yes,5329,573,79,15717,6,3,3,1,2,3,7,12,17,3,3,13,11,1,9,2,4,4
85,34,No,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,No,4325,1153,94,17736,1,3,2,3,2,0,1,15,5,2,3,5,2,1,3,1,2,3
86,56,No,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,7260,1400,49,21698,7,3,3,1,3,0,4,11,37,3,2,6,4,0,2,4,4,1
87,23,No,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Divorced,No,2322,541,62,9518,2,3,1,3,1,1,3,13,3,3,3,0,0,0,0,3,1,3
88,51,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,2075,432,96,18725,9,4,4,3,1,2,3,23,10,4,3,4,2,0,3,4,4,2
89,30,No,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,No,4152,288,99,15830,2,3,3,2,2,3,1,19,11,3,3,11,10,10,8,3,4,1
91,40,No,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,No,13503,530,78,14115,1,4,4,2,4,1,1,22,22,3,2,22,3,11,11,3,2,4
92,51,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,5441,632,71,8423,21,4,4,3,2,0,0,22,11,2,1,10,7,1,0,3,4,4
93,30,No,Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,Yes,5209,1334,63,19760,4,3,2,2,2,3,1,12,11,4,2,11,8,2,7,3,2,2
94,46,No,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Married,Yes,10673,638,40,3142,1,3,3,2,3,1,2,13,21,5,2,10,9,9,5,3,1,3
95,32,No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,5010,1093,87,24301,6,3,4,3,2,0,1,16,12,0,3,11,8,5,7,2,3,1
96,54,No,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,No,13549,1217,60,24001,2,3,4,3,3,1,9,12,16,5,1,4,3,0,3,1,3,1
97,24,No,Travel_Rarely,Sales,Other,Female,Sales Executive,Married,No,4999,1353,33,17519,3,4,2,3,2,1,0,21,4,2,2,3,2,0,2,1,3,1
98,28,No,Non-Travel,Sales,Medical,Male,Sales Executive,Married,No,4221,120,43,8863,4,3,3,3,2,0,1,15,5,3,4,5,4,0,4,2,3,2
99,58,No,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,13872,682,37,24409,10,3,4,3,4,0,0,13,38,1,2,37,10,1,8,4,3,3
100,44,No,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Married,No,2042,489,67,25043,23,3,3,3,2,1,4,12,17,3,4,3,2,1,2,2,2,3
102,32,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,2956,827,71,15178,1,3,1,3,1,0,1,13,1,2,3,1,0,0,0,4,1,4
104,34,No,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Single,No,4809,665,41,12482,6,3,4,3,2,0,1,14,16,3,3,16,13,2,10,1,3,3
105,37,No,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,No,5163,1040,100,15850,2,3,2,2,2,1,5,14,17,2,4,1,0,0,0,3,4,4
106,59,No,Non-Travel,Human Resources,Human Resources,Female,Manager,Married,No,18844,1420,32,21922,2,4,4,2,5,1,9,21,30,3,3,3,2,2,2,3,4,4
107,50,No,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Married,Yes,18172,1115,73,9755,1,3,3,3,5,0,3,19,28,1,2,8,3,0,7,1,2,1
109,25,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,2889,1280,64,26897,7,3,1,2,1,2,1,11,2,2,3,2,2,2,1,4,4,3
110,22,No,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,No,2871,534,59,23785,15,3,3,3,1,0,1,15,1,5,3,0,0,0,0,2,4,3
111,51,No,Travel_Frequently,Research & Development,Medical,Female,Healthcare Representative,Single,No,7484,1456,30,25796,1,4,4,2,3,0,3,20,23,1,2,13,12,12,8,1,1,3
113,54,No,Non-Travel,Human Resources,Human Resources,Female,Manager,Single,Yes,17328,142,30,13871,26,3,3,4,4,0,2,12,23,3,3,5,3,4,4,4,4,3
114,24,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,2774,1127,52,13257,18,3,1,3,1,1,0,12,6,2,3,5,3,1,2,2,3,3
115,34,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,No,4505,1031,45,15000,6,3,4,2,2,1,6,15,12,3,3,1,0,0,0,3,2,3
116,37,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,No,7428,1189,87,14506,3,3,3,3,3,0,2,12,12,3,3,5,3,1,3,3,4,1
117,34,No,Travel_Rarely,Research & Development,Medical,Female,Manager,Single,No,11631,1354,45,5615,5,3,3,2,3,0,2,12,14,6,3,11,10,5,8,3,1,4
118,36,No,Travel_Frequently,Sales,Technical Degree,Female,Sales Executive,Married,No,9738,1467,92,22952,11,3,2,3,3,1,0,14,10,6,3,9,7,2,8,2,4,3
119,36,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,2835,922,39,2561,3,4,2,3,1,1,5,22,7,2,3,1,0,0,0,1,4,1
120,43,No,Travel_Frequently,Sales,Life Sciences,Male,Manager,Married,Yes,16959,394,92,19494,26,3,2,3,4,2,1,12,25,3,4,25,12,4,12,3,4,4
121,30,No,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,2613,1312,96,22310,23,4,3,1,1,3,1,25,10,2,2,10,7,0,9,1,3,3
122,33,No,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,No,6146,750,95,15480,22,3,2,3,2,1,0,13,8,2,4,7,7,0,7,3,2,1
124,51,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Single,No,19537,684,51,6462,6,3,3,3,5,0,7,13,23,5,3,20,18,15,15,1,3,3
126,26,No,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Married,No,2368,841,46,23300,6,3,3,2,1,0,1,19,5,3,2,5,4,4,3,3,2,3
129,22,No,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married,No,2523,594,100,19299,2,3,1,3,1,1,0,14,3,2,3,2,1,2,1,3,4,3
130,49,No,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married,No,6567,470,96,5549,20,3,4,3,2,0,1,14,16,2,2,15,11,5,11,3,1,3
131,43,No,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single,No,4739,957,72,16090,28,3,3,4,1,0,4,12,18,2,3,3,2,1,2,2,3,4
132,50,No,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,9208,809,77,6645,12,3,3,3,3,0,4,11,16,3,3,2,2,2,1,3,4,4
134,41,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,Yes,8189,802,96,21196,9,3,1,3,3,1,3,13,12,2,3,9,7,0,7,3,3,3
135,26,No,Travel_Rarely,Human Resources,Life Sciences,Female,Human Resources,Married,No,2942,1355,61,8916,25,4,1,3,1,1,1,23,8,3,3,8,7,5,7,3,3,4
136,36,No,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,No,4941,216,84,2819,6,4,2,3,2,2,6,20,7,0,3,3,2,0,1,2,2,4
138,39,No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,5902,1329,47,14590,4,3,4,2,2,1,4,14,17,1,4,15,11,5,9,4,3,3
139,25,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,8639,959,41,24835,28,3,3,2,2,0,2,18,6,3,3,2,2,2,2,1,3,4
140,30,No,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married,Yes,6347,1240,48,13982,9,3,3,3,2,0,0,19,12,2,1,11,9,4,7,3,4,4
142,45,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,3452,1316,83,9752,29,3,3,3,1,0,5,13,9,2,2,6,5,0,3,3,4,2
143,38,No,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single,Yes,4317,364,32,2302,3,4,5,3,2,0,3,20,19,2,3,3,2,2,2,4,3,2
144,30,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,No,2632,438,75,23910,18,3,3,3,1,0,1,14,5,4,2,5,4,0,4,1,3,3
145,32,No,Travel_Frequently,Sales,Medical,Male,Sales Executive,Divorced,No,4668,689,35,22812,9,3,2,1,2,3,0,17,9,2,4,8,7,0,7,4,4,4
146,30,No,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Divorced,No,3204,201,84,10415,5,3,3,3,1,1,5,14,8,3,3,3,2,2,2,4,1,4
147,30,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,No,2720,1427,35,11162,2,3,1,2,1,0,0,13,6,3,3,5,3,1,2,2,4,4
148,41,No,Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Divorced,No,17181,857,91,12888,10,3,3,2,4,1,4,13,21,2,2,7,6,7,7,4,1,2
149,41,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,2238,933,94,6961,9,4,4,3,1,1,2,21,7,2,3,5,0,1,4,3,1,4
150,19,No,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,No,1483,1181,79,16102,3,3,1,3,1,0,1,14,1,3,3,1,0,0,0,2,2,4
151,40,No,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Divorced,No,5605,1395,54,8504,26,3,3,3,2,1,1,11,20,2,3,20,7,2,13,2,2,1
152,35,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,7295,662,94,11439,1,3,5,3,3,2,1,13,10,3,3,10,8,0,6,3,2,1
153,53,No,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,Yes,2306,1436,34,16047,6,4,2,3,2,1,2,20,13,3,1,7,7,4,5,2,3,4
154,45,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,2348,194,60,10901,9,3,3,3,2,1,8,18,20,2,1,17,9,0,15,2,2,3
155,32,No,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,8998,967,43,15589,8,3,3,3,3,0,1,14,9,2,3,9,8,3,7,2,4,4
156,29,No,Non-Travel,Research & Development,Technical Degree,Male,Manufacturing Director,Married,No,4319,1496,41,26283,1,3,1,3,2,1,1,13,10,1,3,10,7,0,9,4,3,1
157,51,No,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,No,6132,1169,34,13983,7,3,4,2,2,0,2,17,10,2,3,1,0,0,0,2,3,3
158,58,No,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,Yes,3346,1145,75,11873,9,4,3,2,1,1,4,20,9,3,2,1,0,0,0,2,2,2
159,40,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,10855,630,67,8552,4,3,4,2,3,1,7,11,15,2,2,12,11,2,11,3,4,1
160,34,No,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Married,No,2231,303,75,11314,2,3,4,3,1,1,6,18,6,3,3,4,3,1,2,3,3,4
161,22,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,2323,1256,80,11992,19,4,1,3,1,2,1,24,2,6,3,2,2,2,2,3,4,1
162,27,No,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,No,2024,691,57,5970,9,3,3,3,1,1,6,18,6,1,1,2,2,2,2,4,2,4
163,28,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,2713,440,42,6672,21,3,3,3,1,1,1,11,5,2,1,5,2,0,2,3,4,3
164,57,No,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,Yes,9439,334,83,23402,24,3,2,4,3,1,3,16,12,2,1,5,3,1,4,3,4,2
165,27,No,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,Yes,2566,1450,79,25326,3,3,3,2,1,1,1,15,1,2,2,1,1,0,1,3,3,4
166,50,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Single,No,19926,1452,53,17053,11,3,3,3,5,0,3,15,21,5,3,5,4,4,4,3,2,2
167,41,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,2451,465,56,4609,14,3,3,3,1,1,4,12,13,2,3,9,8,1,8,1,3,1
168,30,No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,9419,1339,41,8053,5,3,3,3,3,1,2,12,12,2,3,10,9,7,4,2,4,3
169,38,No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,No,8686,702,59,12930,1,4,4,2,2,0,4,22,12,2,4,8,3,0,7,1,4,3
170,32,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,3038,120,43,12430,6,4,5,3,1,0,3,20,8,2,3,5,4,1,4,3,3,1
171,27,No,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married,Yes,3058,1157,51,13364,17,3,3,3,1,1,0,16,6,3,2,5,2,1,1,3,2,4
173,36,No,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,No,2088,1480,30,15062,3,3,2,3,1,0,4,12,13,3,2,8,7,7,2,4,2,3
174,30,No,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,3072,111,66,11012,9,3,3,3,2,2,1,11,12,4,3,12,9,6,10,3,1,3
175,45,No,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced,Yes,5006,1268,30,6319,4,3,2,3,2,1,4,11,9,3,4,5,4,0,3,3,1,1
176,56,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,Yes,4257,713,67,13939,8,3,3,3,1,1,4,18,19,3,3,2,2,2,2,3,1,3
177,33,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,2500,134,90,10515,2,3,3,3,1,0,0,14,4,2,4,3,1,0,2,3,4,1
179,46,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,No,10453,526,92,2137,1,4,2,3,3,3,1,25,24,2,3,24,13,15,7,2,1,3
180,38,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,2288,1380,75,6319,9,3,2,3,1,0,1,12,2,3,3,2,2,2,1,3,4,3
